index,codeCVM,issuingCompany,companyName,tradingName,cnpj,marketIndicator,typeBDR,dateListing,status,segment,segmentEng,type,market
1552,23272,LOGG,LOG COMMERCIAL PROPERTIES,LOG COM PROP,9041168000110,18,,17/12/2018,A,Exploração de Imóveis,Real Estate,1,NM
1553,905018,LOGP,LOG E PRINT DADOS VARIAVEIS   S.A,LOGEPRINT,3113360000198,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1554,905026,LOGR,LOG E PRINT GRAFICA E LOGISTICA S/A,LOGPRINT,66079609000106,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1555,916395,LGCM,LOG ENERGIA COMERCIALIZADORA S.A.,LOG ENERGIA,15042149000100,99,,05/01/2022,A,Não Classificados,Not Classified,7,
1556,909010,VAND,LOGBRAS SALVADOR EMPREENDIMENTOS IMOBILIARIOS S/A,LOGBRAS,14251450000161,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1557,20710,LOGN,LOG-IN LOGISTICA INTERMODAL S.A.,LOG-IN,42278291000124,18,,04/06/2007,A,Transporte Hidroviário,Marine and Water Transport,1,NM
1558,904839,LGAM,LOGISTICA AMBIENTAL DE SAO PAULO S/A - LOGA,LOGA,7032886000102,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1559,25038,LJQQ,LOJAS QUERO-QUERO S/A,QUERO-QUERO,96418264021802,18,,06/08/2020,A,Produtos Diversos,Diversified Retailers,1,NM
1560,8133,LREN,LOJAS RENNER S.A.,LOJAS RENNER,92754738000162,18,,03/01/1972,A,Tecidos. Vestuário e Calçados,Apparel. Fabric and Footwear,1,NM
1561,907147,RCHL,LOJAS RIACHUELO S / A,RIACHUELO,33200056000149,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1562,905034,LONG,LONGFORD PARTICIPACOES E EMPREENDIMENTOS S.A.,LONGFORD,14683352000101,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1563,912295,LPPP,LPP I EMPREENDIMENTOS E PARTICIPACOES S.A.,LPP I EMPREE,15019552000119,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1564,20370,LPSB,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LOPES BRASIL,8078847000109,18,,12/12/2006,A,Intermediação Imobiliária,Property Agency,1,NM
1565,905042,LSHB,LSH BARRA EMPREENDIMENTOS IMOBILIARIOS S A,LSHBARRA,17250558000128,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1566,905083,LUFP,LUFT PARTICIPACOES S.A.,LUFTPART,20182540000140,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1567,903682,FMXS,LUIZACRED S/A SOCIEDADE DE CREDITO FINANCIAMENTO E,LUIZACREDCFI,2206577000180,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1568,911800,LMNE,LUMINAE S.A.,LUMINAE S/A,9584001000286,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1569,20060,LUPA,LUPATECH S.A.,LUPATECH,89463822000112,18,,08/05/2006,A,Equipamentos e Serviços,Equipment and Services,1,NM
1570,914184,CSSB,M.CASSAB COMÉRCIO E INDÚSTRIA LTDA.,M.CASSAB COM,49698723000103,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1571,20338,MDIA,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,M.DIASBRANCO,7206816000115,18,,11/10/2006,A,Alimentos Diversos,Other Food Manufacturing,1,NM
1572,905257,MIVS,M.INVEST PLANEJAMENTO E ADMINISTRACAO DE SHOPPING,MINVEST,12294194000164,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1573,913350,MDRO,MADERO INDUSTRIA E COMERCIO S.A.,MADERO IND,13783221000478,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1574,905182,MDRI,MADRI ADMINISTRACAO INTERMEDIACAO E PARTICIPACAO S,MADRIPART,17669798000161,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1575,23612,MSRO,MAESTRO LOCADORA DE VEICULOS S.A.,MAESTROLOC,8795211000170,24,,26/05/2015,A,Aluguel de carros,Car rental,1,MA
1576,22470,MGLU,MAGAZINE LUIZA S.A.,MAGAZ LUIZA,47960950000121,18,,28/04/2011,A,Eletrodomésticos,Electronics and Household Appliance,1,NM
1577,916270,MGNU,MAGNUM TIRES DISTRIBUIDORA DE PNEUS S/A,MAGNUMTIRESD,19403406000143,99,,22/12/2021,A,Não Classificados,Not Classified,7,
1578,8575,LEVE,MAHLE-METAL LEVE S.A.,METAL LEVE,60476884000187,18,,05/08/1971,A,Automóveis e Motocicletas,Automobiles and Motorcycles,1,NM
1579,905117,MAIB,MAIA  E   BORBA S.A.,MAIAEBORBA,1850114000193,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1580,915918,MJMA,MAIOJAMA EMPREENDIMENTOS IMOBILIARIOS S.A.,MAIOJAMAEMPR,87346821000162,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1581,900051,MINC,MAIRIPORA INCORPORADORA LTDA.,MAIRIPORA,17922338000101,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1582,905778,NSPE,MAIS SHOPPING NITEROI EMPREENDIMENTOS E PARTICIPAC,MAISSHOPPING,9396915000132,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1583,909960,MAKR,MAKRO ATACADISTA S/A,MAKROATACADI,47427653000115,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1584,905349,MNAU,MANAUS AMBIENTAL S.A.,MANAUSAMBIEN,3264927000127,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1585,914382,MANT,MANAUS TRANSMISSORA DE ENERGIA S.A.,MANAUS TRANS,9584854000137,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1586,905398,MNDC,MANDIC S/A,MANDIC,4700392000152,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1587,8397,MGEL,MANGELS INDUSTRIAL S.A.,MANGELS INDL,61065298000102,1,,24/02/1972,A,Artefatos de Ferro e Aço,Iron and Steel Products,1,
1588,905414,MNTQ,MANTIQUEIRA TRANSMISSORA DE ENERGIA S.A.,MANTIQUEIRA,24176892000144,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1589,911479,PRMX,MANUFAT. PRODUTOS ALIMENTACAO ANIMAL PREMIX LTDA,MANUF PREMIX,50411321000157,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1590,8427,ESTR,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,ESTRELA,61082004000150,1,,23/11/1946,A,Brinquedos e Jogos,Toys and Games,1,
1591,909978,MAQN,MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.,MAQBRASIL,18634167000170,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1592,912246,MCEN,MARACANA ENERGETICA S/A,MARACANA S/A,8032643000129,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1593,905455,MRCN,MARACANAU GERADORA DE ENERGIA S.A.,MARACANAU,9047261000131,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1594,900053,GATU,MARANGATU HOLDING S.A,MARANGATU,44493502000177,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1595,900017,MRPH,MARAPÉ HOLDING E PARTICIPAÇÕES S.A. ,MARAPE HOLD,49437481000196,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1596,8451,POMO,MARCOPOLO S.A.,MARCOPOLO,88611835000129,17,,12/07/1978,A,Material Rodoviário,Transportation Equipment/Diversified,1,N2
1597,905471,MRHL,MARECHAL RONDON TRANSMISSORA DE ENERGIA S.A.,MARECHALRON,19389560000108,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1598,912386,CCPM,MARFIM EMPREENDIMENTOS IMOBILIARIOS S/A,MARFIM EMP,9597890000135,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1599,20788,MRFG,MARFRIG GLOBAL FOODS S.A.,MARFRIG,3853896000140,18,,18/06/2007,A,Carnes e Derivados,Meat. Poultry and Others,1,NM
1600,22055,AMAR,MARISA LOJAS S.A.,LOJAS MARISA,61189288000189,18,,14/06/2010,A,Tecidos. Vestuário e Calçados,Apparel. Fabric and Footwear,1,NM
1601,905638,MVST,MARISOL VESTUARIO S.A,MARISOL,2045487000154,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1602,917506,MRTR,MARITUBA TRANSMISSÃO DE ENERGIA S.A.,MARITUBATRA,31096307000161,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1603,905281,MLNV,MARLIN NAVEGACAO SA,MARLIN,20854869000100,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1604,905166,MCSD,MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S.A.,MARTINSDIST,43214055000107,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1605,905513,MSGT,MATA DE SANTA GENEBRA TRANSMISSAO S.A.,STAGENEBRA,19699063000106,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1606,905596,MTVL,MATA VELHA ENERGETICA S.A.,MATAVELHA,11083857000139,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1607,905570,MTSM,MATEUS SUPERMERCADOS  S.A.,MATEUS,3995515001309,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1608,908616,TPNO,MATRINCHA TRANSMISSORA DE ENERGIA TP NORTE S/A,MATRINCHA,15286382000139,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1609,900015,MAXE,MAXXIMA ENERGIA LTDA,MAXXIMA ENER,8321315000142,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1610,905133,MBXP,MB EXPANSAO S.A.,MBEXPANSAO,21314705000153,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1611,917529,MCFB,MC BRAZIL F&B PARTICIPAÇÕES S.A.,MC BRAZIL F,42587182000199,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1612,917401,MCBG,MC BRAZIL GALILEO PARTICIPAÇÕES S.A.,MCBRAZILGALI,42654267000142,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1613,905174,MDLL,MDL REALTY INCORPORADORA  S.A.,MDLREALTY,8560999000135,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1614,911354,MEDR,MEDRAL ENGENHARIA LTDA,MEDRAL ENGEN,47611306000148,99,,31/12/9999,A,Não Classificados,Not Classified,7,
1615,25232,CASH,MÉLIUZ S.A.,MELIUZ,14110585000107,18,,03/11/2020,A,Programas e Serviços,Software and Services,1,NM
1616,25119,MELK,MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELNICK,12181987000177,18,,24/09/2020,A,Incorporações,Real Estate,1,NM
1617,916773,MHPA,MENTAL HEALTH PARTICIPACOES S.A.,MENTAL HEALT,42126994000137,99,,10/02/2022,A,Não Classificados,Not Classified,7,
1618,905463,MRCS,MERCANTTI EMPREENDIMENTOS IMOBILIARIOS SPE S.A.,MERCANTII,6026238000172,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1619,912683,MCEX,MERCATO EXPRESS HOLDING DE PARTICIPACAO LTDA.,MERCATO EXPR,22749835000181,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1620,900597,BBVL,MERCEDEZ BENZ LEASING DO BRASIL ARRENDAMENTO MERCA,MERCEDESBENZ,162760000103,1,,31/12/9999,A,Não Classificados,Not Classified,7,
1621,20613,FRIO,METALFRIO SOLUTIONS S.A.,METALFRIO,4821041000108,18,,10/04/2007,A,Máq. e Equip. Industriais,Machines and Industrial Equipments,1,NM
1622,8656,GOAU,METALURGICA GERDAU S.A.,GERDAU MET,92690783000109,16,,13/01/1972,A,Siderurgia,Steel,1,N1
1623,13439,RSUL,METALURGICA RIOSULENSE S.A.,RIOSULENSE,85778074000106,1,,29/11/1988,A,Material Rodoviário,Transportation Equipment/Diversified,1,
1624,8753,MTSA,METISA METALURGICA TIMBOENSE S.A.,METISA,86375425000109,1,,27/04/1981,A,Máq. e Equip. Construção e Agrícolas,Agricultural and Construction Machinery,1,
1625,905554,MTRB,METROBARRA  S.A.,METROBARRA,17339410000164,1,,31/12/9999,A,Não Classificados,Not Classified,7,
